PersonID,FinancialID,Income,Credit_Score,Loan_Amount,Loan_Purpose,Employment_Status,Years_at_Current_Job,Payment_History,Debt-to-Income_Ratio_(%),Assets_Value,Previous_Defaults,Risk_Rating,,,,
1,1,72799,688,45713,Business,Unemployed,19,Poor,15,120228,2,Low,,,,
2,2,69933,690,33835,Auto,Employed,6,Fair,15,55849,3,Medium,,,,
3,3,55687,600,36623,Home,Employed,8,Fair,36,180700,3,Medium,,,,
4,4,26508,622,26541,Personal,Unemployed,2,Excellent,45,157319,4,Medium,,,,
5,5,49427,766,36528,Personal,Unemployed,10,Fair,14,287140,3,Low,,,,
6,6,69933,717,15613,Business,Unemployed,5,Fair,30,159741,3,Medium,,,,
7,7,45280,672,6553,Personal,Self-employed,1,Good,38,159741,0,Low,,,,
8,8,93678,699,27450,Business,Unemployed,10,Poor,40,246597,1,Low,,,,
9,9,20205,710,27450,Auto,Unemployed,4,Fair,34,227599,4,Low,,,,
10,10,32190,600,29918,Personal,Self-employed,5,Excellent,48,130507,2,Low,,,,
11,11,116212,707,24771,Home,Employed,11,Excellent,11,212198,0,Medium,,,,
12,12,78855,718,27450,Home,Self-employed,17,Poor,19,272522,3,Low,,,,
13,13,69933,686,15497,Personal,Self-employed,18,Poor,33,47603,2,High,,,,
14,14,79454,688,43365,Personal,Self-employed,15,Good,33,61967,3,Medium,,,,
15,15,119510,699,5013,Auto,Employed,17,Poor,50,50568,2,Medium,,,,
16,16,69933,699,42951,Auto,Self-employed,6,Fair,55,67070,2,Low,,,,
17,17,70978,706,36970,Personal,Unemployed,19,Excellent,27,54041,1,Medium,,,,
18,18,102628,654,25442,Home,Unemployed,8,Poor,16,159741,1,Medium,,,,
19,19,69933,738,37001,Business,Employed,7,Fair,34,53055,1,Low,,,,
20,20,21084,702,22039,Personal,Employed,19,Fair,23,226053,0,Medium,,,,
21,21,51460,699,29970,Business,Unemployed,19,Excellent,43,252797,3,Medium,,,,
22,22,100169,796,27450,Home,Employed,15,Poor,17,259802,2,Medium,,,,
23,23,69933,664,34904,Auto,Self-employed,12,Excellent,11,152686,3,Medium,,,,
24,24,118318,702,41029,Business,Unemployed,10,Poor,23,159741,3,Low,,,,
25,25,61811,641,43859,Auto,Self-employed,18,Excellent,20,185670,2,Low,,,,
26,26,94796,742,27450,Business,Unemployed,16,Good,36,129119,3,Low,,,,
27,27,85355,667,18834,Auto,Employed,8,Poor,20,159741,2,Medium,,,,
28,28,93133,791,14052,Business,Employed,13,Poor,28,82774,1,Low,,,,
29,29,69933,749,38635,Personal,Self-employed,16,Fair,32,159741,0,Low,,,,
30,30,69933,636,21086,Auto,Employed,13,Fair,46,261445,4,Low,,,,
31,31,115201,699,21315,Personal,Unemployed,10,Poor,24,81794,1,Medium,,,,
32,32,109882,699,35938,Home,Unemployed,3,Excellent,49,237388,2,Low,,,,
33,33,46408,632,48403,Personal,Unemployed,16,Excellent,19,93647,1,Low,,,,
34,34,38065,699,15818,Business,Self-employed,8,Poor,39,107451,0,Low,,,,
35,35,69933,673,16398,Business,Self-employed,8,Fair,48,159119,1,Low,,,,
36,36,69933,637,6382,Auto,Self-employed,2,Good,54,156010,2,Low,,,,
37,37,117392,685,27450,Business,Self-employed,12,Good,47,261093,1,Medium,,,,
38,38,54754,604,11947,Home,Self-employed,13,Good,29,282006,2,High,,,,
39,39,109379,606,5252,Home,Self-employed,16,Poor,45,159741,2,Low,,,,
40,40,33065,783,6895,Auto,Self-employed,2,Fair,12,158428,2,Low,,,,
41,41,69933,699,27450,Personal,Unemployed,16,Excellent,46,108664,2,Low,,,,
42,42,101496,715,16971,Home,Employed,17,Fair,53,271400,2,Medium,,,,
43,43,42787,699,14949,Home,Employed,19,Excellent,22,227655,2,Low,,,,
44,44,69933,748,14522,Home,Unemployed,14,Good,56,176629,1,Low,,,,
45,45,73952,631,49525,Auto,Unemployed,3,Excellent,14,32912,1,Low,,,,
46,46,54247,699,5011,Personal,Unemployed,7,Excellent,34,239162,0,Low,,,,
47,47,85689,699,27450,Personal,Unemployed,2,Excellent,34,232433,0,Medium,,,,
48,48,59593,691,27450,Business,Unemployed,8,Good,42,279118,2,Low,,,,
49,49,69237,699,46898,Personal,Employed,12,Excellent,52,89494,3,Low,,,,
50,50,77146,796,38386,Business,Self-employed,17,Fair,32,262145,4,Medium,,,,
51,51,59300,699,34783,Auto,Employed,3,Excellent,24,270400,0,Low,,,,
52,52,82233,699,45345,Personal,Self-employed,9,Poor,47,208180,4,Low,,,,
53,53,93509,703,16651,Auto,Unemployed,5,Fair,53,270036,0,Medium,,,,
54,54,69933,763,27450,Business,Employed,6,Fair,30,272412,1,Low,,,,
55,55,69933,721,39416,Personal,Unemployed,4,Excellent,42,80601,2,Medium,,,,
56,56,85164,710,14441,Personal,Unemployed,2,Poor,26,64687,2,Medium,,,,
57,57,119747,613,26507,Business,Self-employed,10,Good,46,221402,1,Medium,,,,
58,58,93728,727,27450,Auto,Unemployed,11,Poor,41,203446,2,Low,,,,
59,59,100908,764,27450,Business,Employed,18,Fair,24,250753,2,Medium,,,,
60,60,69933,608,12657,Business,Unemployed,18,Good,47,107089,0,Medium,,,,
61,61,29868,635,12521,Auto,Employed,17,Excellent,35,240325,4,Low,,,,
62,62,68776,612,47707,Personal,Unemployed,11,Fair,33,68491,1,Low,,,,
63,63,98669,720,19464,Business,Unemployed,2,Poor,17,26571,1,High,,,,
64,64,112545,712,15503,Home,Unemployed,7,Poor,25,194154,4,Low,,,,
65,65,118717,647,10656,Home,Self-employed,12,Poor,19,168504,2,Low,,,,
66,66,69933,649,38575,Home,Self-employed,3,Fair,43,143440,0,Medium,,,,
67,67,52822,636,37391,Business,Employed,12,Excellent,50,159741,1,Medium,,,,
68,68,51280,750,22162,Home,Employed,11,Excellent,55,87579,1,Medium,,,,
69,69,63915,699,10084,Personal,Employed,7,Good,36,159741,1,High,,,,
70,70,67046,699,11753,Personal,Unemployed,12,Fair,32,90851,0,Low,,,,
71,71,106526,650,23161,Auto,Employed,19,Poor,54,98025,0,Low,,,,
72,72,69933,700,23834,Auto,Employed,1,Excellent,17,147082,2,Low,,,,
73,73,91691,699,42140,Auto,Unemployed,7,Fair,57,235362,1,Medium,,,,
74,74,69933,692,16283,Home,Self-employed,4,Good,47,144758,1,Low,,,,
75,75,37105,720,33259,Home,Employed,7,Fair,41,294048,3,Medium,,,,
76,76,31063,793,27450,Personal,Self-employed,7,Good,14,226298,2,Low,,,,
77,77,69933,699,9833,Personal,Self-employed,17,Fair,16,131120,2,High,,,,
78,78,69933,699,23993,Personal,Self-employed,19,Poor,15,60925,2,Low,,,,
79,79,56108,796,27450,Personal,Self-employed,4,Excellent,11,97144,3,High,,,,
80,80,69625,636,15188,Home,Unemployed,19,Excellent,51,159741,1,Low,,,,
81,81,82093,726,20454,Home,Self-employed,5,Good,19,39434,2,High,,,,
82,82,100015,615,23114,Business,Unemployed,14,Poor,48,85309,3,Low,,,,
83,83,96293,708,21552,Auto,Employed,3,Excellent,13,255942,0,Low,,,,
84,84,30680,699,24840,Auto,Self-employed,5,Excellent,24,101996,3,Low,,,,
85,85,69933,627,27450,Personal,Self-employed,12,Fair,26,147499,4,Low,,,,
86,86,62541,680,27450,Business,Employed,8,Excellent,24,159741,2,Medium,,,,
87,87,48069,670,17841,Home,Unemployed,17,Excellent,16,241550,0,Low,,,,
88,88,56895,699,27450,Personal,Self-employed,14,Poor,23,128403,1,Low,,,,
89,89,72433,792,5747,Business,Self-employed,4,Good,33,112076,3,Low,,,,
90,90,69933,640,47751,Auto,Self-employed,10,Fair,34,159741,4,Medium,,,,
91,91,69933,734,40516,Auto,Self-employed,9,Poor,38,203231,3,Low,,,,
92,92,65266,617,34746,Home,Unemployed,18,Poor,27,40215,1,Low,,,,
93,93,98578,663,8747,Auto,Self-employed,1,Good,51,37396,0,Low,,,,
94,94,90227,770,18079,Business,Employed,3,Poor,52,163838,0,Low,,,,
95,95,107081,740,18101,Business,Employed,5,Poor,11,25157,1,Low,,,,
96,96,82878,748,17023,Auto,Self-employed,19,Poor,58,192705,4,Low,,,,
97,97,46439,645,27450,Auto,Employed,6,Poor,44,277288,2,Low,,,,
98,98,44085,687,27450,Home,Unemployed,9,Poor,45,253262,0,Low,,,,
99,99,35817,731,44426,Home,Unemployed,1,Fair,51,20626,0,Low,,,,
100,100,54648,699,20427,Personal,Unemployed,8,Fair,12,276619,4,Medium,,,,
101,101,65104,699,44260,Home,Employed,2,Excellent,34,135458,2,Low,,,,
102,102,109698,793,46500,Personal,Self-employed,11,Good,35,159076,1,Medium,,,,
103,103,28906,724,24532,Business,Unemployed,3,Poor,50,96640,0,Low,,,,
104,104,104766,764,16117,Business,Unemployed,17,Good,21,156630,3,Low,,,,
105,105,79556,742,5235,Home,Employed,5,Excellent,32,247857,4,Low,,,,
106,106,116102,629,31831,Home,Employed,16,Excellent,52,228018,2,Medium,,,,
107,107,105141,699,41006,Auto,Self-employed,3,Good,16,26499,1,Low,,,,
108,108,20947,776,38756,Personal,Unemployed,0,Good,22,91848,2,Low,,,,
109,109,69933,660,11157,Home,Self-employed,7,Excellent,30,159741,2,Medium,,,,
110,110,32094,634,17612,Home,Self-employed,17,Good,55,114375,2,Medium,,,,
111,111,67984,699,49459,Business,Employed,12,Fair,13,174044,2,Medium,,,,
112,112,108177,735,23616,Business,Employed,12,Fair,34,165613,1,Medium,,,,
113,113,30295,686,27450,Home,Unemployed,19,Good,25,159741,0,Low,,,,
114,114,96591,722,7260,Home,Employed,12,Fair,58,102681,2,Medium,,,,
115,115,69933,624,47874,Personal,Employed,13,Excellent,46,28057,2,Low,,,,
116,116,83865,663,15896,Auto,Unemployed,6,Excellent,36,159741,0,Low,,,,
117,117,51236,718,31196,Personal,Self-employed,3,Poor,17,45029,2,Low,,,,
118,118,69933,651,18653,Home,Self-employed,16,Good,49,226806,3,High,,,,
119,119,42970,703,27450,Personal,Employed,12,Poor,36,159741,1,Medium,,,,
120,120,101863,688,31132,Business,Employed,2,Poor,22,149141,2,Low,,,,
121,121,107366,655,20154,Home,Employed,9,Poor,42,108345,4,Low,,,,
122,122,101848,699,45635,Home,Self-employed,7,Poor,59,159741,2,High,,,,
123,123,74030,711,9459,Personal,Unemployed,19,Fair,16,96641,0,Low,,,,
124,124,56116,636,16578,Personal,Employed,12,Excellent,31,197835,1,Medium,,,,
125,125,103794,699,9288,Auto,Unemployed,2,Excellent,41,195205,2,Low,,,,
126,126,79300,697,26963,Home,Employed,1,Good,22,159741,0,Low,,,,
127,127,101855,686,48584,Auto,Self-employed,9,Good,57,138039,3,Low,,,,
128,128,89535,624,12990,Auto,Unemployed,6,Good,12,48187,3,Low,,,,
129,129,107329,735,22694,Home,Self-employed,1,Poor,23,71327,2,Low,,,,
130,130,61048,699,17631,Business,Employed,19,Excellent,27,252248,3,Low,,,,
131,131,99622,720,23158,Auto,Employed,6,Good,42,65046,2,Low,,,,
132,132,110896,689,11503,Business,Self-employed,9,Excellent,11,121360,2,Medium,,,,
133,133,64541,703,20017,Auto,Self-employed,1,Good,21,24856,1,High,,,,
134,134,26613,771,6982,Auto,Employed,5,Fair,11,56108,2,Low,,,,
135,135,69933,721,41599,Auto,Unemployed,19,Fair,36,234986,1,Low,,,,
136,136,50885,669,18293,Home,Unemployed,7,Poor,26,99103,3,Low,,,,
137,137,107050,711,14382,Business,Self-employed,3,Excellent,50,142063,1,Medium,,,,
138,138,69933,713,19353,Personal,Self-employed,7,Good,55,253330,2,Medium,,,,
139,139,91540,760,27450,Business,Employed,16,Poor,23,177884,0,Low,,,,
140,140,69933,632,27450,Personal,Unemployed,1,Excellent,13,83144,3,Medium,,,,
141,141,114877,699,46113,Business,Unemployed,6,Excellent,39,254153,1,Medium,,,,
142,142,44283,755,42326,Personal,Self-employed,7,Poor,12,228890,0,Low,,,,
143,143,60385,743,30961,Business,Self-employed,19,Excellent,38,222830,2,Low,,,,
144,144,69933,618,27450,Personal,Unemployed,14,Poor,35,25885,0,Medium,,,,
145,145,47785,699,14137,Auto,Employed,16,Fair,37,147601,4,Medium,,,,
146,146,69895,680,13132,Business,Unemployed,18,Poor,59,159741,0,Low,,,,
147,147,61559,623,9038,Home,Unemployed,16,Fair,53,159741,2,Low,,,,
148,148,40113,722,5044,Personal,Employed,1,Excellent,50,159493,2,Low,,,,
149,149,29797,727,10640,Business,Self-employed,14,Excellent,51,89291,3,Low,,,,
150,150,31137,757,7326,Personal,Unemployed,9,Poor,44,68848,1,Medium,,,,
151,151,115923,726,37406,Personal,Self-employed,17,Good,29,154178,2,High,,,,
152,152,117661,763,8876,Home,Unemployed,15,Poor,57,159741,2,Low,,,,
153,153,69738,727,15974,Auto,Self-employed,10,Good,39,238717,0,Low,,,,
154,154,91035,699,44865,Personal,Self-employed,5,Poor,43,159741,1,Medium,,,,
155,155,76795,645,33454,Personal,Self-employed,13,Excellent,51,40258,3,Low,,,,
156,156,69029,699,39742,Auto,Unemployed,12,Fair,37,159741,4,Low,,,,
157,157,65463,710,27450,Home,Unemployed,4,Good,51,230368,4,Low,,,,
158,158,69933,791,34903,Auto,Self-employed,7,Good,18,236635,0,Low,,,,
159,159,40561,632,42722,Personal,Unemployed,3,Good,38,159741,0,Low,,,,
160,160,23159,634,27450,Business,Employed,11,Good,59,241024,2,Medium,,,,
161,161,61232,643,46522,Business,Unemployed,6,Fair,15,285561,2,Low,,,,
