PersonID,Age,Gender,Education_Level,Marital_Status,Number_of_Dependents,City,State,Country,Marital_Status_Change
1,49,Male,PhD,Divorced,0,Port Elizabeth,AS,Cyprus,2
2,57,Female,Bachelor's,Widowed,0,North Catherine,OH,Turkmenistan,2
3,21,Non-binary,Master's,Single,3,South Scott,OK,Luxembourg,2
4,59,Male,Bachelor's,Single,3,Robinhaven,PR,Uganda,2
5,25,Non-binary,Bachelor's,Widowed,2,New Heather,IL,Namibia,1
6,30,Non-binary,PhD,Divorced,4,Brianland,TN,Iceland,1
7,31,Non-binary,Master's,Widowed,2,West Lindaview,MD,Bouvet Island (Bouvetoya),1
8,18,Male,Bachelor's,Widowed,1,Melissahaven,MA,Honduras,1
9,32,Non-binary,Bachelor's,Widowed,0,North Beverly,DC,Pitcairn Islands,2
10,55,Male,Bachelor's,Married,4,Davidstad,VT,Thailand,2
11,42,Non-binary,Master's,Single,3,Matthewborough,NH,French Guiana,2
12,37,Non-binary,Master's,Divorced,2,Orrstad,OH,Antarctica (the territory South of 60 deg S),2
13,60,Female,PhD,Divorced,4,West Kelseymouth,NM,Eritrea,2
14,68,Male,High School,Divorced,2,Dakotafurt,IA,Grenada,0
15,29,Male,High School,Divorced,2,Deborahtown,AZ,Solomon Islands,2
16,68,Female,PhD,Divorced,4,East Kristin,MH,Guadeloupe,2
17,55,Male,High School,Married,3,Christophermouth,MO,Tonga,0
18,18,Female,Master's,Widowed,3,West Patrick,IA,Taiwan,2
19,60,Non-binary,Bachelor's,Divorced,2,Johnsonstad,MS,Malawi,2
20,56,Non-binary,PhD,Married,2,East James,MP,Isle of Man,2
21,26,Female,PhD,Divorced,1,West Jack,DE,Tonga,0
22,22,Non-binary,PhD,Widowed,3,Lake Alicia,UT,Kenya,0
23,37,Non-binary,PhD,Single,2,Lake Timothy,PR,Zambia,0
24,64,Non-binary,Bachelor's,Divorced,1,West Meghanshire,KS,Oman,1
25,55,Female,High School,Divorced,2,Aprilland,NH,Uruguay,0
26,41,Male,PhD,Single,2,Brittanyton,VI,Gambia,0
27,36,Non-binary,PhD,Single,4,Michaelborough,CO,Iran,2
28,41,Male,PhD,Married,0,Lewisland,AZ,South Georgia and the South Sandwich Islands,0
29,64,Female,PhD,Married,3,West James,OR,Palau,1
30,64,Male,PhD,Married,2,South Ryan,IA,Tokelau,2
31,34,Male,PhD,Married,1,Marchaven,VA,Saint Pierre and Miquelon,2
32,49,Non-binary,High School,Divorced,2,Pattersonshire,GA,Hungary,0
33,48,Non-binary,PhD,Married,3,South Jason,KS,Guyana,0
34,69,Non-binary,PhD,Single,3,South Peterbury,ID,Cote d'Ivoire,1
35,57,Female,Bachelor's,Widowed,1,West Michael,TN,Nauru,0
36,46,Non-binary,High School,Widowed,4,Kevinbury,NM,Guam,1
37,49,Male,Bachelor's,Divorced,3,North Michael,HI,Burundi,0
38,57,Female,Master's,Single,2,Berryland,VT,Thailand,0
39,41,Non-binary,High School,Divorced,2,South Josefurt,OR,Belize,2
40,47,Female,High School,Single,3,West Sharon,AL,Seychelles,0
41,64,Male,Master's,Single,2,Lake Joshuahaven,MO,Sao Tome and Principe,1
42,35,Female,High School,Single,1,Michaelburgh,TX,Anguilla,0
